   , Brunei Darussalam , Indonesia , Malaysia , Philippines , Thailand , Viet Nam , Myanmar 
 2008 Oct ,3340,158276,54973,38577,34193,18719,6581
 2008 Nov ,3989,119530,60463,34208,21914,17701,5738
 2008 Dec ,8090,180678,84324,37367,24747,19903,6928
 2009 Jan ,4080,118342,44243,26249,22661,19870,5521
 2009 Feb ,3421,103501,45726,28911,23335,19292,4909
 2009 Mar ,5390,128446,59660,35718,28055,18307,5916
 2009 Apr ,3759,126815,51299,44622,32151,21663,8226
 2009 May ,3935,129444,54995,42460,27066,20397,5512
 2009 Jun ,5618,159603,61465,33487,24479,28171,5150
 2009 Jul ,3598,169634,54087,32072,26643,32814,6147
 2009 Aug ,3520,131985,61893,35930,23533,24506,4850
 2009 Sep ,4257,182901,68008,35289,23587,17520,5042
 2009 Oct ,3988,137011,69426,38367,35977,20939,6249
 2009 Nov ,5260,143014,82747,37810,23588,19905,5694
 2009 Dec ,9705,214634,110760,41157,26830,22030,7056
 2010 Jan ,5245,173640,67942,32704,24635,19109,5512
 2010 Feb ,4139,143921,68678,32510,23154,20478,4583
 2010 Mar ,5692,166036,81757,43959,31815,21338,7000
 2010 Apr ,3943,163076,77476,54454,50657,26681,9646
 2010 May ,4796,185809,81937,55312,38925,26153,6556
 2010 Jun ,5953,214445,93089,44491,30712,35590,6236
 2010 Jul ,5578,232630,82611,43441,37256,43861,6879
 2010 Aug ,4244,165525,75916,39283,34804,32844,5838
 2010 Sep ,4628,243869,95484,40672,30711,24338,5376
 2010 Oct ,3750,178939,82803,52011,57951,24692,6482
 2010 Nov ,4673,176118,99975,50094,30197,21246,5953
 2010 Dec ,9516,262235,129821,55518,39250,26550,8277
